sent1,sent2,label,strategy
That is recipe [CD] saxophone waterfall compass.,enroll in course,0,2
That is colors [ADJ] paper fall.,make a decision,0,2
This is floppy_disk [EM] upwards_arrow [EM] floppy_disk [EM] upwards_arrow.,backup data,1,4
This is song [EM] song [EM] loud.,make dinner,0,4
This is star [EM] microphone [EM] light_bulb.,host webinar,1,2
This is lotion_bottle [EM] sun [EM] sunglasses.,use sunscreen,1,1
That is blanket [TH] swim cloud demon.,demonstrate loyalty,0,3
This is sponge [EM] plate [EM] shower.,wash dishes,1,1
This is memo [EM] pushpin [EM] alarm_clock.,set reminders,1,3
This is email [EM] pencil [EM] straight_ruler.,draft email,1,1
This is fire [EM] hourglass [EM] email.,check email,1,2
That is cloud [EM] arrow_right girl hammer.,shave beard,0,2
This is people_holding_hands [EM] people_hugging [EM] heart_hands [EM] earth_africa.,respect others,1,1
This is frying_pan [EM] frying_pan [EM] yum.,cook dinner,1,4
This is key [EM] clockwise_vertical_arrows [EM] clockwise_vertical_arrows [EM] key.,change password,1,4
This is calendar [EM] dart [EM] chart_increasing [EM] thinking_face [EM] speech_balloon.,review performance,1,3
This is bookmark_tabs [EM] bookmark_tabs [EM] mag.,compile information,1,4
That's a grocery [EM] spinach radish bell_pepper eggplant.,update calendar,0,3
That is cookie [CK] cookie chocolate_chip snacks.,draft email,0,4
